  Index Name ID Mass Density Temp HVap HFE             
   50 1_chlorohexane m_050 120.6209 0.8738 298.15 10.1338 nan   
   51 1_chloropentane m_051 106.5942 0.878 298.15 9.20172 -0.07   
   52 1_chloropropane m_052 78.5408 0.882 298.15 6.93117 -0.33   
   53 1_ethylnaphthalene m_053 156.227 1.004 298.15 15.246 -2.4   
   59 1_methylcyclohexene m_059 96.172 0.8066 298.15 8.96272 0.67   
   60 1_methyl_imidazole m_060 82.1042 1.0325 293.15 nan -8.41   
   61 1_methylnaphthalene m_061 142.201 1.0202 293.15 14.2525 -2.44   
   62 1_methyl_pyrrole m_062 81.1162 0.8504 343.15 9.08222 -2.89   
   63 1_naphthol m_063 144.164 1.0989 372.15 13.9818 -7.67   
   64 1_naphthylamine m_064 143.1857 1.114 392.15 nan -7.28   
   65 1_nitrobutane m_065 103.1203 0.97 298.15 11.2333 -3.09   
   66 1_nitropentane m_066 117.147 0.947 298.15 12.2205 -2.82   
   67 1_nitropropane m_067 89.0936 0.9961 298.15 10.4924 -3.34   
   68 222_trifluoroethanol m_068 100.04 1.393 285.15 10.6358 -4.31   
   69 224_trimethylpentane m_069 114.229 0.6878 298.15 8.3963 2.89   
   70 225_trimethylhexane m_070 128.255 0.707 298.15 9.5985 2.93   
   71 22_dimethylbutane m_071 86.175 0.6444 298.15 6.6181 2.51   
   72 22_dimethylpentane m_072 100.202 0.673 298.15 7.7486 2.88   
   73 22_dimethylpropane m_073 72.149 0.586 298.15 5.2152 2.51   
   74 234_trimethylpentane m_074 114.229 0.716 298.15 9.0105 2.56   
   75 23_dimethylbuta_13_diene m_075 82.145 0.7222 298.15 7.54482 0.4   
   76 23_dimethylbutane m_076 86.175 0.6616 293.15 6.9814 2.34   
   77 23_dimethylnaphthalene m_077 156.227 0.956 393.15 14.3403 -2.78   
   78 23_dimethylpentane m_078 100.202 0.6908 298.15 8.186 2.52   
   79 23_dimethylphenol m_079 122.16 0.8625 448.15 12.5294 -6.16   
   80 23_dimethylpyridine m_080 107.1536 0.9422 298.15 11.3767 -4.82   
   81 24_dimethylpentan_3_one m_081 114.182 0.807 298.15 9.94264 -2.74   
   82 24_dimethylpentane m_082 100.202 0.668 298.15 7.8585 2.83   
   83 24_dimethylphenol m_083 122.16 0.8988 444.15 12.4145 -6.01   
   84 24_dimethylpyridine m_084 107.1536 0.9275 298.15 11.3528 -4.86   
   85 25_dimethylphenol m_085 122.16 0.89197 442.15 12.4662 -5.91   
   86 25_dimethylpyridine m_086 107.1536 0.8869 340.15 10.6119 -4.72   
   87 25_dimethyltetrahydrofuran m_087 100.156 0.8438 293.15 8.4608 -2.92   
   88 26_dimethylaniline m_088 121.1803 0.98 298.15 14.2447 -5.21   
   89 26_dimethylnaphthalene m_089 156.227 0.91507 399.15 13.695 -2.63   
   90 26_dimethylphenol m_090 122.16 0.8064 432.15 11.5918 -5.26   
   91 26_dimethylpyridine m_091 107.1536 0.918 298.15 10.9805 -4.59   
   92 2_bromo_2_methylpropane m_092 137.0188 1.2132 298.15 7.60038 0.84   
   93 2_bromopropane m_093 122.9921 1.307 298.15 7.27089 -0.48   
   94 2_butoxyethanol m_094 118.176 0.8291 373.15 12.2371 -6.25   
   95 2_chloro_111_trimethoxyethane m_095 154.592 1.147 298.15 nan -1.08   
   96 2_chloro_2_methylpropane m_096 92.5675 0.836 298.15 6.83556 1.09   
   97 2_chloroaniline m_097 127.5716 1.213 298.15 13.7074 -4.91   
   98 2_chlorobutane m_098 92.5675 0.868 298.15 7.52868 nan   
   99 2_chlorophenol m_099 128.5563 1.255 298.15 11.7949 -4.55   
   100 2_chloropropane m_100 78.5408 0.856 298.15 6.53576 -0.25   
   101 2_chloropyridine m_101 113.5449 1.193 298.15 12.1893 -4.39   
   102 2_chlorotoluene m_102 126.5836 1.077 298.15 10.827 -1.14   
   103 2_ethoxyethanol m_103 90.122 0.9253 298.15 11.5201 -6.69   
   104 2_ethylpyrazine m_104 108.1416 0.984 298.15 nan -5.45   
   105 2_ethylpyridine m_105 107.1536 0.8911 338.15 10.4446 -4.33   
   106 2_ethyltoluene m_106 120.194 0.877 298.15 11.21 -1.04   
   107 2_fluorophenol m_107 112.102 1.12 298.15 nan -5.29   
   110 2_isobutylpyrazine m_110 136.195 0.99 298.15 nan -5.04 
   111 2_methoxy_111_trimethoxyethane m_111 150.172 nan 298.15 nan -5.73
   112 2_methoxyaniline m_112 123.153 1.0923 293.15 13.7428 -6.12
   113 2_methoxyethanamine m_113 75.1102 0.829 298.15 nan    
   114 2_methoxyethanol m_114 76.094 0.96 298.15 10.8031 -6.76   
   115 2_methoxyphenol m_115 124.134 1.0363 393.15 11.9981 -5.57   
   116 2_methyl_but_2_ene m_116 70.134 0.657 298.15 6.47706 1.31   
   117 2_methylbuta_13_diene m_117 68.119 0.675 298.15 6.30975 0.68   
   118 2_methylbutan_1_ol m_118 88.146 0.8152 298.15 12.9302 -4.42   
   119 2_methylbutan_2_ol m_119 88.146 0.805 298.15 11.7591 -4.43   
   120 2_methylbutane m_120 72.149 0.616 298.15 5.9369 2.38   
   121 2_methylhexane m_121 100.202 0.674 298.15 8.3294 2.93   
   122 2_methylpent_1_ene m_122 84.161 0.675 298.15 7.28967 1.47
   123 2_methylpentan_2_ol m_123 102.172 0.8095 298.15 13.0736 -3.92
   124 2_methylpentan_3_ol m_124 102.172 0.8198 298.15 13.3843 -3.88
   125 2_methylpentane m_125 86.175 0.65 298.15 7.1439 2.51   
   126 2_methylpropan_1_ol m_126 74.12 0.797 298.15 12.1176 -4.5   
   127 2_methylpropan_2_ol m_127 74.12 0.7482 328.15 10.2772 -4.47   
   128 2_methylpropane m_128 58.122 0.5939 261.43 5.12 2.32   
   129 2_methylpropene m_129 56.108 0.63664 258.15 5.41758 1.16   
   130 2_methylpyrazine m_130 94.1149 0.985 340.15 10.1338 -5.51   
   131 2_methylpyridine m_131 93.1269 0.94 298.15 10.1577 -4.63   
   132 2_methyltetrahydrofuran m_132 86.13 0.85 298.15 8.1262 -3.3   
   133 2_methylthiophene m_133 98.1675 1.014 298.15 9.24952 -1.38   
   134 2_naphthol m_134 144.164 1.28 298.15 18.21 -8.11   
   135 2_naphthylamine m_135 143.1857 nan 298.15 nan -7.47
   136 2_nitroaniline m_136 138.1244 1.44 298.15 nan -7.37   
   137 2_nitrophenol m_137 139.1091 nan 298.15 nan -4.58   
   138 2_nitropropane m_138 89.0936 0.9812 299.15 9.77533 -3.13   
   139 2_nitrotoluene m_139 137.1364 1.1581 298.15 14.1252 -3.58   
   140 2_phenylethanol m_140 122.16 1.015 298.15 16.348 -6.79   
   141 2_propoxyethanol m_141 104.146 0.906 298.15 12.4522 -6.4   
   142 333_trimethoxypropionitrile m_142 145.1571 1.036 298.15 nan -6.4   
   143 33_dimethylbutan_2_one m_143 100.156 0.801 298.15 9.15392 -3.11   
   144 33_dimethylpentane m_144 100.202 0.687 298.15 7.8896 2.56   
   145 34_dimethylphenol m_145 122.16 0.8993 459.15 13.3243 -6.5   
   146 34_dimethylpyridine m_146 107.1536 0.928 328.15 11.6635 -5.22   
   147 35_dimethylphenol m_147 122.16 0.8938 442.15 13.217 -6.27   
   148 35_dimethylpyridine m_148 107.1536 0.9378 298.15 11.6396 -4.84   
   149 3_acetylpyridine m_149 121.137 1.1023 298.15 nan -8.26   
   150 3_chloroaniline m_150 127.5716 1.211 298.15 14.5793 -5.82   
   151 3_chlorophenol m_151 128.5563 1.2308 332.15 12.6912 -6.62   
   152 3_chloroprop_1_ene m_152 76.5248 0.9296 301.15 7.17017 -0.57   
   153 3_chloropyridine m_153 113.5449 1.194 298.15 11.4484 -4.01   
   154 3_cyanophenol m_154 119.121 1.22 298.15 nan -9.65   
   155 3_cyanopyridine m_155 104.1096 1.074 322.9 nan -6.75   
   156 3_ethylphenol m_156 122.16 1.0283 293.15 16.2524 -6.25   
   157 3_ethylpyridine m_157 107.1536 0.891 349.15 10.6597 -4.59   
   158 3_formylpyridine m_158 107.1103 1.126 298.15 nan -7.1   
   159 3_hydroxybenzaldehyde m_159 122.118 1.138 379.13 nan -9.5   
   160 3_methoxyaniline m_160 123.153 nan 298.15 nan -7.29   
   161 3_methoxyphenol m_161 124.134 1.131 298.15 15.4876 -7.66   
   162 3_methyl_1h_indole m_162 131.175 1.079 368.22 nan -5.88   
   163 3_methyl_but_1_ene m_163 70.134 0.66804 252.15 6.28585 1.83   
   164 3_methylbutan_1_ol m_164 88.146 0.81 298.15 13.5158 -4.42   
   165 3_methylbutan_2_one m_165 86.13 nan 298.15 9.11168 -3.24   
   166 3_methylbutanoic_acid m_166 102.13 0.926 298.15 14.6272 -6.09   
   167 3_methylheptane m_167 114.229 0.7017 298.15 9.5196 2.97   
   168 3_methylhexane m_168 100.202 0.684 298.15 8.3772 2.71   
   169 3_methylpentane m_169 86.175 0.6598 298.15 7.2347 2.51   
   170 3_methylpyridine m_170 93.1269 0.952 298.15 10.6119 -4.77   
   171 3_nitroaniline m_171 138.1244 15.51147 298.15 nan -8.84   
   172 3_nitrophenol m_172 139.1091 1.2797 373.15 nan -9.62   
   173 3_nitrotoluene m_173 137.1364 1.158 293.15 12.5297 -3.45   
   174 3_phenylpropanol m_174 136.186 nan 298.15 nan -6.92   
   175 4_acetylpyridine m_175 121.137 nan 298.15 nan -7.62   
   176 4_bromophenol m_176 173.007 1.84 298.15 14.05 -7.54   
   177 4_bromotoluene m_177 171.0349 1.3553 337.15 11.2811 -1.39   
   178 4_chloro_3_methylphenol m_178 142.583 nan 298.15 nan -8.7   
   179 4_chloroaniline m_179 127.5716 1.1398 378.15 12.4761 -5.9   
   180 4_chlorophenol m_180 128.5563 1.2506 338.15 12.7895 -7.03   
   181 4_cyanophenol m_181 119.121 nan 298.15 nan -10.17   
   182 4_cyanopyridine m_182 104.1096 nan 298.15 nan -6.02   
   183 4_ethylphenol m_183 122.16 0.946 373.15 14.0535 -6.13   
   184 4_ethylpyridine m_184 107.1536 0.8936 348.15 10.827 -4.73   
   185 4_ethyltoluene m_185 120.194 0.857 298.15 11.1377 -0.95   
   186 4_fluorophenol m_186 112.102 1.125 375.15 11.6635 -6.19   
   187 4_formylpyridine m_187 107.1103 nan 298.15 nan -7   
   188 4_hydroxybenzaldehyde m_188 122.118 1.1253 409.15 17.2801 -8.83   
   189 4_isopropyltoluene m_189 134.221 0.852 298.15 11.6874 -0.68   
   190 4_methoxyacetophenone m_190 150.17 1.0738 322.15 15.8939 -4.4   
   191 4_methoxyaniline m_191 123.153 1.0682 330.96 nan -7.48   
   192 4_methyl_1h_imidazole m_192 82.1042 1.02 298.15 nan -10.27   
   193 4_methylacetophenone m_193 134.17 nan 303.15 14.2447 -4.7   
   194 4_methylbenzaldehyde m_194 120.144 1.009 298.15 12.6827 -4.27   
   195 4_methylpentan_2_ol m_195 102.172 0.804 298.15 13.3628 -3.73   
   196 4_methylpentan_2_one m_196 100.156 0.7965 298.15 10.1427 -3.05   
   197 4_methylpyridine m_197 93.1269 0.95 298.15 10.7075 -4.93   
   198 4_nitroaniline m_198 138.1244 1.44 488.15 18.6185 -10.27   
   199 4_nitrophenol m_199 139.1091 nan 298.15 nan -10.64   
   200 4_n_propylphenol m_200 136.186 0.983 298.15 nan -5.9   
   201 4_tert_butylphenol m_201 150.212 0.908 298.15 nan -5.91   
   202 acenaphthene m_202 154.21 1.1424 383.15 14.412 -3.15   
   203 acetaldehyde m_203 44.052 0.7906 283.15 6.59656 -3.5   
   204 acetic_acid m_204 60.052 1.0446 298.15 12.3327 -6.69   
   205 acetonitrile m_205 41.0521 0.781 298.15 7.88719 -3.88   
   206 acetophenone m_206 120.144 1.0236 298.15 13.2409 -4.58   
   207 alpha_methylstyrene m_207 118.178 0.9106 293.15 11.783 -1.24   
   208 ammonia m_208 17.0307 0.683 239.15 5.6166 -4.29   
   209 aniline m_209 93.1269 1.0177 298.15 13.3389 -5.49   
   210 anisole m_210 108.134 0.99 298.15 11.1855 -2.45   
   211 anthracene m_211 178.233 0.9595 511.15 14.5076 -3.95   
   212 azetidine m_212 57.0948 0.848 288.15 7.79159 -5.56   
   213 benzaldehyde m_213 106.118 1.0401 298.15 11.7352 -4.02   
   214 benzamide m_214 121.137 1.0792 403.15 nan -11   
   215 benzene m_215 78.114 0.873 298.15 8.08795 -0.86   
   216 benzonitrile m_216 103.1216 0.9856 316.15 11.7352 -4.1   
   217 benzotrifluoride m_217 146.1101 1.18 298.15 8.99 -0.25   
   218 benzyl_alcohol m_218 108.134 1.041 298.15 15.4876 -6.62   
   219 benzyl_bromide m_219 171.0349 1.438 298.15 12.739 -2.38   
   220 benzyl_chloride m_220 126.5836 1.097 298.15 11.9742 -1.93   
   221 biphenyl m_221 154.211 0.9766 363.15 14.3577 -2.66   
   222 bis_2_chloroethyl__ether m_222 143.0116 1.1934 312.15 11.9025 -4.23
   223 bromobenzene m_223 157.0082 1.4875 298.15 10.6358 -1.46   
   224 bromoethane m_224 108.9654 1.45 298.15 6.72296 -0.74
   225 bromomethane m_225 94.9387 1.7574 262.15 6.02294 -0.82
   226 bromotrifluoromethane m_226 148.9099 2.139 180.15 4.56501 1.79   
   227 but_1_ene m_227 56.108 0.63482 259.15 5.56883 1.38   
   228 but_1_yne m_228 54.092 0.6783 273.15 5.99423 -0.16   
   229 buta_13_diene m_229 54.092 0.67554 247.15 5.63576 0.61   
   230 butan_1_ol m_230 74.12 0.806 298.15 12.4522 -4.72   
   231 butan_2_ol m_231 74.12 0.804 298.15 11.8786 -4.62   
   232 butanenitrile m_232 69.1055 0.787 298.15 9.36902 -3.64   
   233 butanoic_acid m_233 88.106 0.9528 298.15 13.8623 -6.35   
   234 butanone m_234 72.104 0.7999 298.15 8.2935 -3.71
   235 butyraldehyde m_235 72.104 0.797 298.15 8.34364 -3.18
   236 chlorobenzene m_236 112.5569 1.1 298.15 9.79924 -1.12   
   237 chlorodifluoromethane m_237 86.4682 1.4523 218.15 5.09082 -0.5   
   238 chloroethane m_238 64.5141 0.925 270.15 6.19025 -0.63   
   239 chloroethylene m_239 62.4981 0.9684 258.15 5.47323 -0.59   
   240 chlorofluoromethane m_240 68.4778 1.3905 249.15 5.56883 -0.77   
   241 chloromethane m_241 50.4874 1.0314 235.15 5.42543 -0.55   
   242 cis_12_dimethylcyclohexane m_242 112.215 0.792 298.15 9.4909 1.58   
   243 cyclohepta_135_triene m_243 92.141 0.882 298.15 9.24952 -0.99   
   244 cycloheptanol m_244 114.182 0.9506 299.15 15.4637 -5.48   
   245 cyclohexane m_245 84.161 0.773 298.15 7.892 1.23
   246 cyclohexanol m_246 100.156 0.96 298.15 14.6511 -5.46   
   247 cyclohexanone m_247 98.14 0.9425 298.15 10.6918 -4.91   
   248 cyclohexene m_248 82.145 0.79238 313.15 7.81549 0.37   
   249 cyclohexylamine m_249 99.1749 0.863 298.15 10.2294 -4.59   
   250 cyclopentane m_250 70.134 0.75 298.15 6.8164 1.2   
   251 cyclopentanol m_251 86.13 0.944 298.15 13.4799 -5.49   
   252 cyclopentanone m_252 84.114 0.9447 298.15 10.0717 -4.7   
   253 cyclopentene m_253 68.119 0.767 298.15 6.74831 0.56   
   254 cyclopropane m_254 42.081 0.699 240.3 4.79207 0.75   
   255 decan_1_ol m_255 158.276 0.8256 298.15 18.9532 -3.64   
   256 decan_2_one m_256 156.26 0.8198 298.15 14.5554 -2.34   
   257 dibromomethane m_257 173.8347 2.482 298.15 8.84321 -1.96   
   258 dichloromethane m_258 84.9321 1.3183 298.15 6.98705 -1.31   
   259 diethoxymethoxybenzene m_259 196.238 nan 298.15 nan -5.23   
   260 diethylamine m_260 73.1375 0.7017 298.15 7.45698 -4.07   
   261 diethyl_disulfide m_261 122.2548 0.988 298.15 10.8031 -1.64   
   262 diethyl_ether m_262 74.12 0.7082 298.15 6.50096 -1.59   
   263 diethyl_malonate m_263 160.166 1.0551 293.15 15.4637 -6   
   264 diethyl_succinate m_264 174.192 0.9926 342.15 15.5688 -5.71   
   265 diethyl_sulfide m_265 90.1888 0.832 298.15 8.53009 -1.46   
   267 diisopropylamine m_267 101.1909 0.713 298.15 8.2696 -3.22   
   268 diisopropyl_ether m_268 102.172 0.7192 298.15 7.67208 -0.53   
   269 di_isopropyl_sulfide m_269 118.2422 0.81 298.15 9.80667 -1.21   
   270 dimethoxymethane m_270 76.094 0.8666 288.15 7.19407 -2.93   
   271 dimethylamine m_271 45.0841 0.6872 264.15 6.63068 -4.29   
   272 dimethyl_disulfide m_272 94.2014 1.057 298.15 9.17782 -1.83   
   273 dimethyl_ether m_273 46.068 0.7485 234.15 5.44933 -1.91   
   274 dimethyl_sulfate m_274 126.133 1.2527 355.15 11.8348 -5.1   
   275 dimethyl_sulfide m_275 62.1354 0.845 298.15 6.62046 -1.61   
   276 dimethyl_sulfone m_276 94.1342 1.1427 404.15 13.3843 -10.08   
   277 dimethyl_sulfoxide m_277 78.1348 1.088 308.15 12.5478 -8.71   
   278 di_n_butylamine m_278 129.2443 0.762 298.15 11.4962 -3.24   
   279 di_n_butyl_ether m_279 130.224 0.7644 298.15 10.7529 -0.83   
   280 di_n_propylamine m_280 101.1909 0.737 298.15 9.56023 -3.65   
   281 di_n_propyl_ether m_281 102.172 0.7415 298.15 8.52772 -1.16   
   282 di_n_propyl_sulfide m_282 118.2422 0.833 298.15 10.5641 -1.28   
   283 E_12_dichloroethene m_283 96.9428 1.245 298.15 7.19407 -0.78   
   284 E_but_2_enal m_284 70.088 0.8219 320.15 8.74761 -4.22   
   285 E_hept_2_ene m_285 98.188 0.697 298.15 8.60421 1.68   
   286 E_hex_2_enal m_286 98.14 nan 298.15 nan -3.68   
   287 E_oct_2_enal m_287 126.192 nan 298.15 nan -3.43   
   288 ethanamide m_288 59.0675 0.9986 358.15 14.3325 -9.71   
   289 ethane m_289 30.069 0.5439 184.55 3.53 1.83   
   290 ethanethiol m_290 62.1354 0.8315 298.15 6.54554 -1.14   
   291 ethanol m_291 46.068 0.787 298.15 10.1099 -5   
   292 ethene m_292 28.054 0.5895 155.15 3.44168 1.28   
   293 ethyl_acetate m_293 88.106 0.894 298.15 8.5086 -2.94   
   294 ethylamine m_294 45.0841 0.6959 282.15 6.93117 -4.5   
   295 ethylbenzene m_295 106.167 0.865 298.15 10.0956 -0.79   
   296 ethyl_benzoate m_296 150.17 1.0376 303.15 13.3604 -3.64   
   297 ethyl_butanoate m_297 116.156 0.8735 298.15 10.2008 -2.49   
   298 ethyl_formate m_298 74.078 0.8963 313.5 7.37811 -2.56   
   299 ethyl_hexanoate m_299 144.208 0.869 298.15 12.3614 -2.23   
   300 ethyl_pentanoate m_300 130.182 0.873 298.15 11.2357 -2.49   
   301 ethyl_phenyl_ether m_301 122.16 0.9605 298.15 12.1176 -2.22   
   302 ethyl_propanoate m_302 102.13 0.8843 298.15 9.38098 -2.68   
   303 fluorene m_303 166.222 1.2873 398.15 15.1291 -3.35   
   304 fluorobenzene m_304 96.1026 1.017 298.15 8.2457 -0.8   
   305 fluoromethane m_305 34.0331 0.9057 183.15 4.2304 -0.22   
   306 formaldehyde m_306 30.026 0.8474 236.15 5.80784 -2.75   
   307 halothane m_307 197.3813 1.8563 298.15 7.07457 -0.11   
   308 hept_1_ene m_308 98.188 0.693 298.15 8.65874 1.66   
   309 hept_1_yne m_309 96.172 0.728 298.15 8.65787 0.6   
   310 heptan_1_ol m_310 116.198 0.819 298.15 15.8939 -4.21   
   311 heptan_2_one m_311 114.182 0.811 298.15 11.2906 -3.04   
   312 heptan_4_one m_312 114.182 0.8116 298.15 11.1616 -2.92   
   313 heptanal m_313 114.182 0.8132 298.15 11.305 -2.67   
   314 hex_1_ene m_314 84.161 0.6685 298.15 7.31358 1.58   
   315 hex_1_yne m_315 82.145 0.7279 280.15 7.98279 0.29   
   316 hexa_15_diene m_316 82.145 0.6878 298.15 7.03839 1.01   
   317 hexafluoropropene m_317 150.0225 1.6288 220.15 4.95143 -3.76   
   318 hexan_1_ol m_318 102.172 0.81 298.15 14.415 -4.4   
   319 hexan_2_one m_319 100.156 0.807 298.15 10.2844 -3.28   
   320 hexan_3_ol m_320 102.172 0.8171 295.15 13.7428 -4.06   
   321 hexanal m_321 100.156 0.81 298.15 10.1099 -2.81   
   322 hexanoic_acid m_322 116.156 0.9212 298.15 17.0411 -6.21   
   323 hydrazine m_323 32.0454 1.02 303.15 10.6358 -9.3   
   324 hydrogen_sulfide m_324 34.081 1.03 298.15 nan -1.17   
   325 imidazole m_325 68.0775 nan 298.15 nan -9.63   
   326 indane m_326 118.178 0.96 298.15 11.7113 -1.46   
   330 isoamyl_acetate m_330 130.182 0.8665 298.15 11.0899 -2.21   
   331 isoamyl_formate m_331 116.156 0.8744 298.15 9.913 -2.13   
   332 isobutyl_acetate m_332 116.156 0.8997 267.15 10.4158 -2.36   
   333 isobutylbenzene m_333 134.221 0.849 298.15 11.4388 0.16
   334 isobutyl_formate m_334 102.13 0.9171 255.15 10.1431 -2.22   
   335 isobutyl_isobutanoate m_335 144.208 0.8517 298.15 11.2498 -1.69   
   336 isobutyraldehyde m_336 72.104 0.784 298.15 7.83939 -2.86   
   337 isoflurane m_337 184.4922 1.496 298.15 5.32 0.1   
   338 isopropyl_acetate m_338 102.13 0.871 298.15 8.8432 -2.64   
   339 isopropylbenzene m_339 120.193 0.864 298.15 10.7839 -0.3   
   340 isopropyl_formate m_340 88.106 0.8728 293.15 7.73375 -2.02   
   341 E-but-2-ene m_341 70.134 0.6431 298.15 6.38145 1.34   
   342 acetylene m_342 26.036 nan 298.15 nan -0.01   
   343 dimethylacetamide m_343 87.1209 0.9372 298.15 11.9981 -8.5   
   344 N-methylformamide m_344 59.0675 1.005 298.15 13.4321 -10   
   345 propanamide m_345 73.0942 0.9262 383.15 14.412 -9.41   
   346 1-methyl-2-pyridone m_346 109.1263 nan 368.15 14.3881 -10   
   347 4-methylimidazole m_347 82.1042 nan 298.15 nan -10.25   
   348 1-propylguanidine m_348 101.1509 nan 298.15 nan -10.92   
   349 2-7-dimethylnaphtalene m_349 156.227 0.9141 400.15 13.695 -2.63   
   350 acenaphthylene m_350 152.184 nan 298.15 nan -3.15   
   351 1-butene-3-yne m_351 52.076 0.7094 273.15 5.7586 0.04   
   352 1-propen-3-ol m_352 58.0795 0.85 298.15 10.1513 -5.08   
   353 hexamethylethane m_353 236.7376 1.624 475.15 9.63193 1.23   
   354 1-penten-4-yne m_354 76.5248 0.928 301.15 7.17017 -0.57   
   355 1-3-dioxolane m_355 74.078 1.0584 295.15 8.5564 -4.1   
   356 2-5-dimethyltetrahydrofuran m_356 100.156 0.8391 298.15 8.3857 -2.92   
   357 tetrafluoroethene m_357 100.015 1.5479 193.15 4.44551 1.38   
   358 trifluoromethane m_358 70.0139 1.505 177.15 4.3021 0.81   
   359 butanone m_359 72.104 0.7999 298.15 8.31979 -3.64   
   360 2-nitrotoluene m_360 137.1364 1.158 298.15 14.1252 -3.59   
   361 1-nitrobutane m_361 103.1203 0.97 298.15 11.2333 -3.08   
   362 1-nitropropane m_362 89.0936 0.9961 298.15 10.4924 -3.34   
   363 2-nitropropane m_363 89.0936 0.9821 298.15 9.77533 -3.14   
   364 2-nitrophenol m_364 139.1091 nan 298.15 nan -9.63   
   365 nitrobenzene m_365 123.1097 1.199 298.15 13.1453 -4.12   
   366 nitroethane m_366 75.0669 0.9932 339.15 9.22562 -3.71   
   367 hexafluoroisopropanol m_367 168.0379 1.4528 298.15 9.94264 -3.77   
   368 propylthiopropane m_368 159.0782 1.2651 303.15 14.2447 -3.92   
   369 2-2-2-trifluoroethylvinylether m_369 nan nan 298.15 nan -1.06   
   370 m_bis_trifluoromethyl__benzene m_370 214.1078 1.378 298.15 10.13384 -2.3   
   371 m_cresol m_371 108.134 1.0298 298.15 15.1434 -5.49   
